"ID de la compétence parente","ID","Nom abrégé",Description,"Format de description","Valeurs du barème","Configuration du barème","Type de règle de compétence (optionnelle)","Règle d'objectif (optionnelle)","Règle de paramétrage (optionnelle)","IDs des compétences croisées associées","ID d'exportation (optionnel)","Est un référentiel",Taxonomie
,2016,CEFR (version française),"<p><a href=""https://www.coe.int/fr/web/common-european-framework-reference-languages/table-1-cefr-3.3-common-reference-levels-global-scale"">Cadre européen commun de référence pour les langues</a></p>",1,"Pas encore compétent,Compétent","[{""scaleid"":""7""},{""id"":2,""scaledefault"":1,""proficient"":1},{""id"":3,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency,competency,competency"
,20161,A1,"Utilisateur élémentaire - Découverte",1,,,,0,null,,1,,
20161,20162,"A1 (i)","Peut comprendre et utiliser des expressions familières et quotidiennes ainsi que des énoncés très simples qui visent à satisfaire des besoins concrets.",1,,,,0,null,,2,,
20161,20163,"A1 (ii)","Peut se présenter ou présenter quelqu'un et poser à une personne des questions la concernant - par exemple, sur son lieu d'habitation, ses relations, ce qui lui appartient, etc. - et peut répondre au même type de questions.",1,,,,0,null,,3,,
20161,20164,"A1 (iii)","Peut communiquer de façon simple si l'interlocuteur parle lentement et distinctement et se montre coopératif.",1,,,,0,null,,4,,
,20165,A2,"Utilisateur élémentaire - Survie",1,,,,0,null,,5,,
20165,20166,"A2 (i)","Peut comprendre des phrases isolées et des expressions fréquemment utilisées en relation avec des domaines immédiats de priorité (par exemple, informations personnelles et familiales simples, achats, environnement proche, travail).",1,,,,0,null,,6,,
20165,20167,"A2 (ii)","Peut communiquer lors de tâches simples et habituelles ne demandant qu'un échange d'informations simple et direct sur des sujets familiers et habituels.",1,,,,0,null,,7,,
20165,20168,"A2 (iii)","Peut décrire avec des moyens simples sa formation, son environnement immédiat et évoquer des sujets qui correspondent à des besoins immédiats.",1,,,,0,null,,8,,
,20169,"B1 ","Utilisateur indépendant - Seuil",1,,,,0,null,,9,,
20169,201610,"B1 (i)","Peut comprendre les points essentiels quand un langage clair et standard est utilisé et s'il s'agit de choses familières dans le travail, à l'école, dans les loisirs, etc.",1,,,,0,null,,10,,
20169,201611,"B1 (ii)","Peut se débrouiller dans la plupart des situations rencontrées en voyage dans une région où la langue cible est parlée.",1,,,,0,null,,11,,
20169,201612,"B1 (iii)","Peut produire un discours simple et cohérent sur des sujets familiers et dans ses domaines d'intérêt.",1,,,,0,null,,12,,
20169,201613,"B1 (iv)","Peut raconter un événement, une expérience ou un rêve, décrire un espoir ou un but et exposer brièvement des raisons ou explications pour un projet ou une idée.",1,,,,0,null,,13,,
,201614,B2,"Utilisateur indépendant - Intermédiaire supérieur",1,,,,0,null,,14,,
201614,201615,"B2 (i)","Peut comprendre le contenu essentiel de sujets concrets ou abstraits dans un texte complexe, y compris une discussion technique dans sa spécialité.",1,,,,0,null,,15,,
201614,201616,"B2 (ii)","Peut communiquer avec un degré de spontanéité et d'aisance tel qu'une conversation avec un locuteur natif ne comportant de tension ni pour l'un ni pour l'autre.",1,,,,0,null,,16,,
201614,201617,"B2 (iii)","Peut s'exprimer de façon claire et détaillée sur une grande gamme de sujets, émettre un avis sur un sujet d’actualité et exposer les avantages et les inconvénients de différentes possibilités.",1,,,,0,null,,17,,
,201618,C1,"Utilisateur expérimenté - Autonomie",1,,,,0,null,,18,,
201618,201619,"C1 (i)","Peut comprendre une grande gamme de textes longs et exigeants, ainsi que saisir des significations implicites.",1,,,,0,null,,19,,
201618,201620,"C1 (ii)","Peut s'exprimer spontanément et couramment sans trop apparemment devoir chercher ses mots.",1,,,,0,null,,20,,
201618,201621,"C1 (iii)","Peut utiliser la langue de façon efficace et souple dans sa vie sociale, professionnelle ou académique.",1,,,,0,null,,21,,
201618,201622,"C1 (iv)","Peut s'exprimer sur des sujets complexes de façon claire et bien structurée et manifester son contrôle des outils d'organisation, d'articulation et de cohésion du discours.",1,,,,0,null,,22,,
,201623,C2,"Utilisateur expérimenté - Maîtrise",1,,,,0,null,,23,,
201623,201624,"C2 (i)","Peut comprendre sans effort pratiquement tout ce qu'il/elle lit ou entend.",1,,,,0,null,,24,,
201623,201625,"C2 (ii)","Peut restituer faits et arguments de diverses sources écrites et orales en les résumant de façon cohérente.",1,,,,0,null,,25,,
201623,201626,"C2 (iii)","Peut s'exprimer spontanément, très couramment et de façon précise et peut rendre distinctes de fines nuances de sens en rapport avec des sujets complexes.",1,,,,0,null,,26,,
